crash,mass,y,v
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,3,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
0,0,4,0
